indicator,spanish_translation,category,spanish_category,interpretable_name,indicator_source,indicator_calculation_description,indicator_comments
Percent_without_tree_canopy_coverage_White_2011,Porcentaje_sin_cobertura_de_pabellón_árbol_blanco_2011,Tree_Coverage,Cobertura_de_árboles,Percent of land without tree coverage,Climate Change and Health Vulnerability Indicators: https://skylab.cdph.ca.gov/CCHVIz/,"Narrative downloaded from Single Indicator tab from https://skylab.cdph.ca.gov/CCHVIz/.  ""They are generated by the USDA Forest Service. These data contain percent tree canopy estimates, as a continuous variable, for each pixel across all land covers and types. Tree canopy cover is derived from multi-spectral satellite imagery and other available ground and ancillary information (https://www.mrlc.gov/data/nlcd-2021-usfs-tree-canopy-cover-conus#:~:text=NLCD%20tree%20canopy%20cover%20is,all%20land%20covers%20and%20types.) -> CHVI Percent tree canopy cover and its standard error were obtained for 30 x 30 meter grids for theState of California from the U.S. Forest Service Tree Canopy analytical file of the NLCD. The grids, represented as raster layers for geospatial software, were imported into ArcMap and the zonal statistics tool was used to calculate average tree canopy coverage by census block, excluding water areas""",All of these are multiplied by race weighted -- maybe these aren't useful to include? 
Percent_without_tree_canopy_coverage_NHOPI_2011,Porcentaje_sin_cobertura_de_cobertura_de_árboles_NHOPI_2011,Tree_Coverage,Cobertura_de_árboles,Percent of land without tree coverage,Climate Change and Health Vulnerability Indicators: https://skylab.cdph.ca.gov/CCHVIz/,"Narrative downloaded from Single Indicator tab from https://skylab.cdph.ca.gov/CCHVIz/.  ""They are generated by the USDA Forest Service. These data contain percent tree canopy estimates, as a continuous variable, for each pixel across all land covers and types. Tree canopy cover is derived from multi-spectral satellite imagery and other available ground and ancillary information (https://www.mrlc.gov/data/nlcd-2021-usfs-tree-canopy-cover-conus#:~:text=NLCD%20tree%20canopy%20cover%20is,all%20land%20covers%20and%20types.) -> CHVI Percent tree canopy cover and its standard error were obtained for 30 x 30 meter grids for theState of California from the U.S. Forest Service Tree Canopy analytical file of the NLCD. The grids, represented as raster layers for geospatial software, were imported into ArcMap and the zonal statistics tool was used to calculate average tree canopy coverage by census block, excluding water areas""",All of these are multiplied by race weighted -- maybe these aren't useful to include? 
Percent_without_tree_canopy_coverage_Latino_2011,Porcentaje_sin_cobertura_de_cobertura_de_árboles_Latino_2011,Tree_Coverage,Cobertura_de_árboles,Percent of land without tree coverage,Climate Change and Health Vulnerability Indicators: https://skylab.cdph.ca.gov/CCHVIz/,"Narrative downloaded from Single Indicator tab from https://skylab.cdph.ca.gov/CCHVIz/.  ""They are generated by the USDA Forest Service. These data contain percent tree canopy estimates, as a continuous variable, for each pixel across all land covers and types. Tree canopy cover is derived from multi-spectral satellite imagery and other available ground and ancillary information (https://www.mrlc.gov/data/nlcd-2021-usfs-tree-canopy-cover-conus#:~:text=NLCD%20tree%20canopy%20cover%20is,all%20land%20covers%20and%20types.) -> CHVI Percent tree canopy cover and its standard error were obtained for 30 x 30 meter grids for theState of California from the U.S. Forest Service Tree Canopy analytical file of the NLCD. The grids, represented as raster layers for geospatial software, were imported into ArcMap and the zonal statistics tool was used to calculate average tree canopy coverage by census block, excluding water areas""",All of these are multiplied by race weighted -- maybe these aren't useful to include? 
Percent_without_tree_canopy_coverage_AfricanAm_2011,Porcentaje_sin_cobertura_de_cobertura_de_árboles_AfricanAm_2011,Tree_Coverage,Cobertura_de_árboles,Percent of land without tree coverage,Climate Change and Health Vulnerability Indicators: https://skylab.cdph.ca.gov/CCHVIz/,"Narrative downloaded from Single Indicator tab from https://skylab.cdph.ca.gov/CCHVIz/.  ""They are generated by the USDA Forest Service. These data contain percent tree canopy estimates, as a continuous variable, for each pixel across all land covers and types. Tree canopy cover is derived from multi-spectral satellite imagery and other available ground and ancillary information (https://www.mrlc.gov/data/nlcd-2021-usfs-tree-canopy-cover-conus#:~:text=NLCD%20tree%20canopy%20cover%20is,all%20land%20covers%20and%20types.) -> CHVI Percent tree canopy cover and its standard error were obtained for 30 x 30 meter grids for theState of California from the U.S. Forest Service Tree Canopy analytical file of the NLCD. The grids, represented as raster layers for geospatial software, were imported into ArcMap and the zonal statistics tool was used to calculate average tree canopy coverage by census block, excluding water areas""",All of these are multiplied by race weighted -- maybe these aren't useful to include? 
Percent_without_tree_canopy_coverage_Asian_2011,Porcentaje_sin_cobertura_de_cobertura_de_árboles_Asiático_2011,Tree_Coverage,Cobertura_de_árboles,Percent of land without tree coverage,Climate Change and Health Vulnerability Indicators: https://skylab.cdph.ca.gov/CCHVIz/,"Narrative downloaded from Single Indicator tab from https://skylab.cdph.ca.gov/CCHVIz/.  ""They are generated by the USDA Forest Service. These data contain percent tree canopy estimates, as a continuous variable, for each pixel across all land covers and types. Tree canopy cover is derived from multi-spectral satellite imagery and other available ground and ancillary information (https://www.mrlc.gov/data/nlcd-2021-usfs-tree-canopy-cover-conus#:~:text=NLCD%20tree%20canopy%20cover%20is,all%20land%20covers%20and%20types.) -> CHVI Percent tree canopy cover and its standard error were obtained for 30 x 30 meter grids for theState of California from the U.S. Forest Service Tree Canopy analytical file of the NLCD. The grids, represented as raster layers for geospatial software, were imported into ArcMap and the zonal statistics tool was used to calculate average tree canopy coverage by census block, excluding water areas""",All of these are multiplied by race weighted -- maybe these aren't useful to include? 
Percent_without_tree_canopy_coverage_AIAN_2011,Porcentaje_sin_cobertura_de_dosel_árbol_AIAN_2011,Tree_Coverage,Cobertura_de_árboles,Percent of land without tree coverage,Climate Change and Health Vulnerability Indicators: https://skylab.cdph.ca.gov/CCHVIz/,"Narrative downloaded from Single Indicator tab from https://skylab.cdph.ca.gov/CCHVIz/.  ""They are generated by the USDA Forest Service. These data contain percent tree canopy estimates, as a continuous variable, for each pixel across all land covers and types. Tree canopy cover is derived from multi-spectral satellite imagery and other available ground and ancillary information (https://www.mrlc.gov/data/nlcd-2021-usfs-tree-canopy-cover-conus#:~:text=NLCD%20tree%20canopy%20cover%20is,all%20land%20covers%20and%20types.) -> CHVI Percent tree canopy cover and its standard error were obtained for 30 x 30 meter grids for theState of California from the U.S. Forest Service Tree Canopy analytical file of the NLCD. The grids, represented as raster layers for geospatial software, were imported into ArcMap and the zonal statistics tool was used to calculate average tree canopy coverage by census block, excluding water areas"" -- from calBRACE project. ",All of these are multiplied by race weighted -- maybe these aren't useful to include? 
extreme_heat_days_2040_2060,días_de_calor_extremo_2040_2060,Heat,Calor,Projected number of extreme heat days from 2040-60 ,Climate Change and Health Vulnerability Indicators: https://skylab.cdph.ca.gov/CCHVIz/,"Narrative downloaded from Single Indicator tab from https://skylab.cdph.ca.gov/CCHVIz/. The data are derived from daily climate projections which have been downscaled from global climate models from the CMIP5 archive, using the Localized Constructed Analogs (LOCA) statistical technique developed by Scripps Institution of Oceanography. LOCA is a statistical downscaling technique that uses past history to add improved fine-scale detail to global climate models. An extreme heat day is defined as a day in a year when the maximum temperature exceeds the 98th historical percentile of the maximum temperatures based on observed historical data from 1961-1990 between April and October. By definition the baseline annual number of extreme heat days is 4.27 for all counties and geographic units. Projected data were provided from the four models that were selected by California’s Climate Action Team Research Working Group as priority models for research contributing to California’s Fourth Climate Change Assessment: 1) A warm/dry simulation – HadGEM2-ES 2) A cooler/wetter simulation – CNRM-CM5 3) An average simulation (CanESM2) 4) The model simulation that is most unlike the first three for the best coverage of different possibilities – MIROC5 Data were provided for each of these four models, for the RCP 8.5 scenario, for the County and Census Tract levels. The RCP 8.5 is a scenario where emissions continue to rise strongly through 2050 and plateau around 2100.","These numbers are generated from models based on past data -- maybe these aren't useful to include, maybe we need something better like real-time data for heat?"
extreme_heat_days_2080_2099,días_de_calor_extremo_2080_2099,Heat,Calor,Projected number of extreme heat days from 2080-99 ,Climate Change and Health Vulnerability Indicators: https://skylab.cdph.ca.gov/CCHVIz/,"Narrative downloaded from Single Indicator tab from https://skylab.cdph.ca.gov/CCHVIz/. The data are derived from daily climate projections which have been downscaled from global climate models from the CMIP5 archive, using the Localized Constructed Analogs (LOCA) statistical technique developed by Scripps Institution of Oceanography. LOCA is a statistical downscaling technique that uses past history to add improved fine-scale detail to global climate models. An extreme heat day is defined as a day in a year when the maximum temperature exceeds the 98th historical percentile of the maximum temperatures based on observed historical data from 1961-1990 between April and October. By definition the baseline annual number of extreme heat days is 4.27 for all counties and geographic units. Projected data were provided from the four models that were selected by California’s Climate Action Team Research Working Group as priority models for research contributing to California’s Fourth Climate Change Assessment: 1) A warm/dry simulation – HadGEM2-ES 2) A cooler/wetter simulation – CNRM-CM5 3) An average simulation (CanESM2) 4) The model simulation that is most unlike the first three for the best coverage of different possibilities – MIROC5 Data were provided for each of these four models, for the RCP 8.5 scenario, for the County and Census Tract levels. The RCP 8.5 is a scenario where emissions continue to rise strongly through 2050 and plateau around 2100.","These numbers are generated from models based on past data -- maybe these aren't useful to include, maybe we need something better like real-time data for heat?"
Ozone,Ozono,Ozone,Ozono,Ozone concentration ,Cal Enviro Screen : https://oehha.ca.gov/calenviroscreen/report/calenviroscreen-40,"See cal enviro report 4.0 for detailed description: ""Mean of summer months (May-October) of the daily maximum 8-hour ozone concentration (ppm), averaged over three years (2017 to 2019) from Air Monitoring Network, California Air Resources Board (CARB). This is ground-level ozone which has adverse cardiovascular effects""  ",Maybe this should go in the toxicants/pollutants category? Maybe we just incldue one of these (just raw value or percentile)
Ozone_Pctl,Ozono_Pctl,Ozone,Ozono,Ozone percentile by census tract,Cal Enviro Screen : https://oehha.ca.gov/calenviroscreen/report/calenviroscreen-40,"See cal enviro report 4.0 for detailed description: ""Mean of summer months (May-October) of the daily maximum 8-hour ozone concentration (ppm), averaged over three years (2017 to 2019) from Air Monitoring Network, California Air Resources Board (CARB). This is ground-level ozone which has adverse cardiovascular effects""  -- This is the same as above but with percentile relative to other counties. ",Maybe this should go in the toxicants/pollutants category? Maybe we just incldue one of these (just raw value or percentile)
