indicator,spanish_translation,category,spanish_category,interpretable_name,indicator_source,indicator_calculation_description,indicator_comments
extreme_heat_days_2040_2060,días_de_calor_extremo_2040_2060,Heat,Calor,Projected number of extreme heat days from 2040-60 ,Climate Change and Health Vulnerability Indicators: https://skylab.cdph.ca.gov/CCHVIz/,Data sourced from Climate Change and Health Vulnerability Indicators (https://skylab.cdph.ca.gov/CCHVIz/) based on global climate models from the CMIP5 archive developed by Scripps Institution of Oceanography and selected by Climate Action Team Research Working Group for research contributing to California’s Fourth Climate Change Assessment. ,"These numbers are generated from models based on past data -- maybe these aren't useful to include, maybe we need something better like real-time data for heat?"
Ozone,Ozono,Ozone,Ozono,Ozone concentration (absolute value),Cal Enviro Screen : https://oehha.ca.gov/calenviroscreen/report/calenviroscreen-40,"Data sourced from Cal Enviro Screen 4.0 (https://oehha.ca.gov/calenviroscreen/report/calenviroscreen-40). Mean of summer months (May-October) of the daily maximum 8-hour ozone concentration (ppm), averaged over three years (2017 to 2019) from Air Monitoring Network, California Air Resources Board (CARB).",Maybe this should go in the toxicants/pollutants category? Maybe we just incldue one of these (just raw value or percentile)
Ozone_Pctl,Ozono_Pctl,Ozone,Ozono,Ozone concentration (percentile),Cal Enviro Screen : https://oehha.ca.gov/calenviroscreen/report/calenviroscreen-40,"Data sourced from Cal Enviro Screen 4.0 (https://oehha.ca.gov/calenviroscreen/report/calenviroscreen-40). Mean of summer months (May-October) of the daily maximum 8-hour ozone concentration (ppm), averaged over three years (2017 to 2019) from Air Monitoring Network, California Air Resources Board (CARB). Percentile calculated relative to other census tracts. ",Maybe this should go in the toxicants/pollutants category? Maybe we just incldue one of these (just raw value or percentile)
Drinking_Water,Agua potable,Water,Agua,Drinking water contamination (absolute value),Cal Enviro Screen : https://oehha.ca.gov/calenviroscreen/report/calenviroscreen-40,"Data sourced from Cal Enviro Screen 4.0 (https://oehha.ca.gov/calenviroscreen/report/calenviroscreen-40). The drinking water contaminant index is a combination of contaminant data that takes into account the relative concentrations of different contaminants and whether multiple contaminants are present in public drinking water systems and groundwater from 2011-2019. Sources of data include Safe Drinking Water Information System, EDT Library and Water Quality Analyses Data and California State Water Resources Control Board. See Cal Enviro Screen 4.0 report for more details. ","This indicator combines data from multiple toxicants such as nitrates, animal waste, perchlorate, arsenic, lead, Trichloropropane, Trihalomethanes etc. -- Maybe this should also go in the toxicant category? "
Drinking_Water_Pctl,Agua_potable_Pctl,Water,Agua,Drinking water contamination (percentile),Cal Enviro Screen : https://oehha.ca.gov/calenviroscreen/report/calenviroscreen-40 ,"Data sourced from Cal Enviro Screen 4.0 (https://oehha.ca.gov/calenviroscreen/report/calenviroscreen-40). The drinking water contaminant index is a combination of contaminant data that takes into account the relative concentrations of different contaminants and whether multiple contaminants are present in public drinking water systems and groundwater from 2011-2019. Percentile was calculated relative to other census tracts. Sources of data include Safe Drinking Water Information System, EDT Library and Water Quality Analyses Data and California State Water Resources Control Board. See Cal Enviro Screen 4.0 report for more details. ","This indicator combines data from multiple toxicants such as nitrates, animal waste, perchlorate, arsenic, lead, Trichloropropane, Trihalomethanes etc. -- Maybe this should also go in the toxicant category? "
Lead,Plomo,Toxicants,Tóxicos,Potential risk for lead exposure from housing,Cal Enviro Screen : https://oehha.ca.gov/calenviroscreen/report/calenviroscreen-40,Data sourced from Cal Enviro Screen 4.0 (https://oehha.ca.gov/calenviroscreen/report/calenviroscreen-40). Percentage of households within a census tract with likelihood of lead-based paint (LBP) hazards from the age of housing (2017 California parcel data and 5-year estimates 2015-2019) combined with the percentage of households that are both low-income (household income less than 80% of the county median family income) and have children under 6 years old (5-year estimates 2013-2017).,This indicator is specifically for small children based on the description of the calculation... Maybe this isn't best to include here. 
Lead_Pctl,Plomo_Pctl,Toxicants,Tóxicos,Potential risk for lead exposure from housing percentile,Cal Enviro Screen : https://oehha.ca.gov/calenviroscreen/report/calenviroscreen-40,Data sourced from Cal Enviro Screen 4.0 (https://oehha.ca.gov/calenviroscreen/report/calenviroscreen-40). Percentage of households within a census tract with likelihood of lead-based paint (LBP) hazards from the age of housing (2017 California parcel data and 5-year estimates 2015-2019) combined with the percentage of households that are both low-income (household income less than 80% of the county median family income) and have children under 6 years old (5-year estimates 2013-2017). Percentile calculated relative to other census tracts. ,This indicator is specifically for small children based on the description of the calculation... Maybe this isn't best to include here. 
Pesticides,Pesticidas,Toxicants,Tóxicos,Agricultural pesticide use,Cal Enviro Screen : https://oehha.ca.gov/calenviroscreen/report/calenviroscreen-40,"Data sourced from Cal Enviro Screen 4.0 (https://oehha.ca.gov/calenviroscreen/report/calenviroscreen-40). Total pounds of 132 selected active pesticide ingredients (filtered for hazard and volatility) used in production-agriculture per square mile, averaged over three years (2017 to 2019). Based on pesticide use reported to California Department of Pesticide Regulation made publicly available for each Meridian-Township-Range-Section (MTRS) in California.",Maybe we want to get real-time data from the DPR MTRS for our application here?
Pesticides_Pctl,Pesticidas_Pctl,Toxicants,Tóxicos,Agricultural pesticide use percentile by census tract ,Cal Enviro Screen : https://oehha.ca.gov/calenviroscreen/report/calenviroscreen-40,"Data sourced from Cal Enviro Screen 4.0 (https://oehha.ca.gov/calenviroscreen/report/calenviroscreen-40). Total pounds of 132 selected active pesticide ingredients (filtered for hazard and volatility) used in production-agriculture per square mile, averaged over three years (2017 to 2019). Based on pesticide use reported to California Department of Pesticide Regulation made publicly available for each Meridian-Township-Range-Section (MTRS) in California. Percentile calculated relative to other census tracts. ",Maybe we want to get real-time data from the DPR MTRS for our application here?
Housing_Burden,Carga_vivienda,Housing,Vivienda,Percentage housholds paying more than 50% income in rent,Cal Enviro Screen : https://oehha.ca.gov/calenviroscreen/report/calenviroscreen-40,"Data sourced from Cal Enviro Screen 4.0 (https://oehha.ca.gov/calenviroscreen/report/calenviroscreen-40). Percent of households in a census tract that are both low income (making less than 80% of the HUD Area Median Family Income) and severely burdened by housing costs (paying greater than 50% of their income to housing costs) based on American Community Survey, Comprehensive Housing Affordability Strategy (5-year estimates, 2013-2017).",This might be a good indicator to include... Although it doesn't reflect pure price of housing by county. 
