"County","FIPS","Region","Definition","Strata","Race","Year","Mean","LL95","UL95","Numerator","Denominator"
"Alameda",6001,"Bay Area","Annual Mean Ambient Concentration of Fine Particulate Matter (PM2.5)","none","AIAN","2012-2014",NA,NA,NA,NA,4851
"Alameda",6001,"Bay Area","Annual Mean Ambient Concentration of Fine Particulate Matter (PM2.5)","none","Asian","2012-2014",8.87610047507257,NA,NA,NA,436207
"Alameda",6001,"Bay Area","Annual Mean Ambient Concentration of Fine Particulate Matter (PM2.5)","none","AfricanAm","2012-2014",8.69794377,NA,NA,NA,179400
"Alameda",6001,"Bay Area","Annual Mean Ambient Concentration of Fine Particulate Matter (PM2.5)","none","Latino","2012-2014",8.77987170554886,NA,NA,NA,358168
"Alameda",6001,"Bay Area","Annual Mean Ambient Concentration of Fine Particulate Matter (PM2.5)","none","NHOPI","2012-2014",8.69794377,NA,NA,NA,13243
"Alameda",6001,"Bay Area","Annual Mean Ambient Concentration of Fine Particulate Matter (PM2.5)","none","White","2012-2014",8.7705280257038,NA,NA,NA,522707
"Alameda",6001,"Bay Area","Annual Mean Ambient Concentration of Fine Particulate Matter (PM2.5)","none","Multiple","2012-2014",8.69794377,NA,NA,NA,66229
"Alameda",6001,"Bay Area","Annual Mean Ambient Concentration of Fine Particulate Matter (PM2.5)","none","Other","2012-2014",NA,NA,NA,NA,4178
"Alameda",6001,"Bay Area","Annual Mean Ambient Concentration of Fine Particulate Matter (PM2.5)","none","Total","2012-2014",8.78941556461765,NA,NA,NA,1584983
"Alameda",6001,"Bay Area","Annual Mean Ambient Concentration of Fine Particulate Matter (PM2.5)","none","AIAN","2009-2011",8.23130978127644,NA,NA,NA,4189
"Alameda",6001,"Bay Area","Annual Mean Ambient Concentration of Fine Particulate Matter (PM2.5)","none","Asian","2009-2011",8.3577769729222,NA,NA,NA,390524
"Alameda",6001,"Bay Area","Annual Mean Ambient Concentration of Fine Particulate Matter (PM2.5)","none","AfricanAm","2009-2011",8.04870368879048,NA,NA,NA,184126
"Alameda",6001,"Bay Area","Annual Mean Ambient Concentration of Fine Particulate Matter (PM2.5)","none","Latino","2009-2011",8.27039760194664,NA,NA,NA,339889
"Alameda",6001,"Bay Area","Annual Mean Ambient Concentration of Fine Particulate Matter (PM2.5)","none","NHOPI","2009-2011",8.33950686678635,NA,NA,NA,11931
"Alameda",6001,"Bay Area","Annual Mean Ambient Concentration of Fine Particulate Matter (PM2.5)","none","White","2009-2011",8.26079211202627,NA,NA,NA,514559
"Alameda",6001,"Bay Area","Annual Mean Ambient Concentration of Fine Particulate Matter (PM2.5)","none","Multiple","2009-2011",8.24842017591467,NA,NA,NA,60862
"Alameda",6001,"Bay Area","Annual Mean Ambient Concentration of Fine Particulate Matter (PM2.5)","none","Other","2009-2011",8.15543633260107,NA,NA,NA,4191
"Alameda",6001,"Bay Area","Annual Mean Ambient Concentration of Fine Particulate Matter (PM2.5)","none","Total","2009-2011",8.2619242535901,NA,NA,NA,1510271
"Alpine",6003,"Southeast Sierra","Annual Mean Ambient Concentration of Fine Particulate Matter (PM2.5)","none","AIAN","2012-2014",2.58872381,NA,NA,NA,219
"Alpine",6003,"Southeast Sierra","Annual Mean Ambient Concentration of Fine Particulate Matter (PM2.5)","none","White","2012-2014",2.58872381,NA,NA,NA,725
"Alpine",6003,"Southeast Sierra","Annual Mean Ambient Concentration of Fine Particulate Matter (PM2.5)","none","Total","2012-2014",2.58872381,NA,NA,NA,1131
